,smiles,amount,price,lead_time
0,C#Cc1cc(N)ccc1F,2,7.74,20.0
1,Cc1oc(S(=O)(=O)N2CCOCC2)cc1C(=O)O,107,59.17,14.1
2,CS(=O)(=O)CCC(N)c1nc(-c2ccccn2)no1,8,60.36,17.0
3,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,4,9.82,16.7
4,Nc1cc(F)cc(F)c1N,6,6.5,30.0
5,O=S(=O)(Cl)c1cccc2cccnc12,24,5.53,20.0
6,Nc1ccc(Oc2cccc(F)c2)c(Cl)c1,2,28.77,25.9
7,Nc1ccc(F)c2cn[nH]c12,5,30.94,20.0
8,Cc1oc(S(=O)(=O)N(C)C)cc1C(=O)O,121,78.42,33.8
9,FC1CNC(c2nc(-c3ccccn3)no2)C1,5,125.53,26.0
10,CC(=O)Nc1cc(C(=O)O)cc(NC(C)=O)c1C,4,30.92,9.7
11,Nc1c(Br)cc(F)c(Br)c1N,5,56.36,20.0
12,Cc1oc(S(=O)(=O)N2CCCC2)cc1C(=O)O,111,89.41,20.1
13,Cc1cc(N)ccc1Oc1ccc(N)cc1,1,38.29,22.0
14,Nc1ccc(F)c(CO)c1,1,22.93,31.0
15,CC(=O)c1cc(N)ccc1F,3,16.9,30.0
16,Nc1c(Br)cc(F)cc1I,3,28.83,31.0
17,Cc1oc(S(=O)(=O)N2CCCCC2)cc1C(=O)O,111,69.93,23.9
18,Nc1cc(F)c(F)c(F)c1N,5,27.63,20.0
19,CC(C)c1cc(F)ccc1N,2,8.84,20.0
20,Nc1cc(F)c(F)cc1N,6,5.2,30.0
21,Nc1c(Br)cc(F)c(F)c1F,2,9.1,30.0
22,Nc1ccc(Oc2ccccc2)c(F)c1,1,23.76,26.0
23,Cc1cc(N)cc(C)c1F,2,13.26,20.0
24,c1ccc2c(c1)-c1ccccc1C2N1CCNCC1,18,57.09,15.4
25,Cc1c(C(=O)O)sc2c(Cl)cccc12,1,48.62,20.0
26,CNc1ccc(F)cc1N,6,26.0,11.0
27,Cc1c(F)ccc(N)c1N,3,68.9,30.0
28,Nc1ccc(F)cc1,2,18.81,12.2
29,NNc1ccc(F)cc1Cl,3,5.53,20.0
30,Cc1c(N)ccc(F)c1C,4,59.28,24.0
31,Nc1c(Br)cc(F)c(Cl)c1Br,3,20.18,12.2
32,Nc1ccc(F)cc1O,2,11.7,30.0
33,Cc1ccc(C(=O)O)cc1C#N,1,38.29,22.0
34,COc1ccc2cc(C(=O)NCC(c3cc4ccccc4o3)N(C)C)[nH]c2c1,21,106.08,26.0
35,Nc1ccc(F)c(I)c1F,4,33.15,20.0
36,Cc1c(F)ccc(N)c1F,3,20.8,30.0
37,Nc1ccc(Oc2cccc(Cl)c2)c(Cl)c1,1,78.0,16.0
38,COc1cc([N+](=O)[O-])c(N)cc1F,3,50.7,30.0
39,CC(N)c1nc(-c2ccccn2)no1,10,32.5,21.0
40,CC(=O)Nc1cc(NC(C)=O)c([N+](=O)[O-])c(C(=O)O)c1,4,30.92,9.7
41,O=C(O)c1sc2ccccc2c1Cl,1,30.79,17.0
42,CNc1cc(F)cc(Br)c1N,5,81.77,20.0
43,Nc1ccc(F)cc1C=O,1,70.72,20.0
44,Nc1cc(Br)c(F)cc1C(=O)O,2,6.63,20.0
45,COc1cc(N)c(Cl)cc1F,2,26.49,31.0
46,Cc1c(C(=O)O)sc2cccc(Cl)c12,1,44.2,20.0
47,Cc1cc(N)c(Cl)cc1F,2,5.53,20.0
48,CNc1ccc(F)cc1Br,1,17.68,20.0
49,Nc1ccc(F)cc1Cl,2,6.5,30.0
50,Nc1ccc(F)cc1[N+](=O)[O-],3,11.99,14.4
51,N#Cc1cc(F)c(F)cc1N,3,48.88,24.0
52,Nc1c(F)cc(F)cc1S,1,64.15,26.0
53,N#Cc1cc(F)cc(F)c1N,2,7.8,30.0
54,COc1cc(F)cc(Br)c1N,2,26.49,31.0
55,Nc1ccc(F)c(B(O)O)c1,3,80.67,34.0
56,Nc1cc(N)c(Br)cc1F,7,65.0,11.0
57,N#Cc1cccc(C(=O)O)c1O,1,24.31,20.0
58,Nc1cc(F)cc(Br)c1N,4,22.1,30.0
59,CC(C)Nc1ccc(F)cc1,2,13.26,20.0
