,smiles,amount,price,lead_time
88,c1ccc(-c2noc([C@@H]3CCCN3)n2)nc1,7,53.3,34.0
89,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,3,11.99,14.4
90,Nc1ccc(F)c(O)c1,3,28.83,31.0
91,N#Cc1ccc(F)c(C(=O)O)c1F,1,22.93,31.0
92,N#Cc1cc(Br)cc(C(=O)O)c1,1,13.26,20.0
93,O=C(O)c1cc2ccc(F)cc2s1,1,22.93,31.0
94,Nc1cc(F)c(F)c(F)c1[N+](=O)[O-],3,59.67,20.0
95,COc1cc(NN)ccc1F,5,6.63,20.0
96,O=C(O)c1cc(NC(=O)C(F)(F)F)cc(NC(=O)C(F)(F)F)c1,4,44.84,17.0
97,Nc1ccc(Oc2ccccc2)c(Cl)c1,2,24.31,20.0
98,Nc1cc(Br)c(F)cc1[N+](=O)[O-],1,9.1,30.0
99,CC(C)C(=O)Nc1cc(NC(=O)C(C)C)cc(C(=O)O)c1,4,44.84,17.0
100,Nc1ccc(F)c2cn[nH]c12,3,30.94,20.0
101,CCCCC(=O)Nc1cc(NC(=O)CCCC)cc(C(=O)O)c1,2,37.16,17.0
102,Nc1ccc(F)c(C(F)F)c1,2,78.46,20.0
103,Nc1cc(F)c(F)cc1F,2,16.19,11.1
104,Nc1c(C(=O)O)sc2cc(F)ccc12,1,22.93,31.0
105,Nc1ccc(F)c(CO)c1,1,22.93,31.0
106,O=C(O)c1cc2cc(Br)ccc2s1,1,22.93,31.0
107,CC(=O)Nc1cc(C(=O)O)cc(NC(C)=O)c1C,3,29.76,9.8
108,Cc1cc(F)cc(N)c1N,4,84.24,24.0
109,Nc1ccc(F)c(F)c1O,2,19.5,30.0
110,Nc1ccc(Oc2ccccc2)cc1,2,6.63,20.0
111,Nc1c(Br)cc(F)cc1I,3,28.83,31.0
112,Cc1cccc(C)c1Oc1ccc(N)cc1,2,18.79,20.0
113,Nc1cc(Cl)c(F)cc1Cl,2,17.68,20.0
114,NNc1c(F)cc(F)cc1Cl,2,82.88,20.0
115,N#Cc1cccc(C(=O)O)c1F,1,22.93,31.0
116,Nc1cc(F)c(F)c(Br)c1,1,15.47,20.0
117,Nc1c(Cl)cc(F)cc1Cl,1,25.71,10.0
118,Nc1c(F)cc(F)cc1F,3,12.35,12.2
119,COc1cc(F)ccc1N,1,22.93,31.0
120,Nc1cc(F)c(F)cc1C(=O)O,2,5.2,30.0
121,Nc1ccc(F)c(I)c1F,2,33.15,20.0
122,Cc1cc(F)c(F)cc1N,2,6.63,20.0
123,Nc1cc(F)c(F)c(F)c1Br,3,6.63,20.0
124,COc1cc(F)cc(Br)c1N,2,26.49,31.0
125,Nc1ccc(F)cc1,2,18.81,12.2
126,Cc1cc(F)cc([N+](=O)[O-])c1N,2,26.49,31.0
127,Cc1cc(F)c(O)cc1N,3,28.83,31.0
128,Nc1cc(F)c(F)c(F)c1F,2,5.53,20.0
129,Nc1cc(F)c(F)c(C(=O)O)c1F,2,28.2,9.9
130,Cc1c(N)ccc(F)c1F,1,64.15,26.0
131,N#Cc1cc(C(=O)O)cc(C(=O)O)c1,1,38.29,22.0
132,CNc1cc(F)cc(Br)c1N,4,81.77,20.0
133,Nc1ccc(F)cc1Cl,2,6.5,30.0
134,O=C(O)c1cc(NC(=O)C2CCCO2)cc(NC(=O)C2CCCO2)c1,2,37.16,17.0
135,NCc1cc(N)ccc1F,6,39.78,34.0
136,Cc1c(F)ccc(N)c1N,4,68.9,30.0
137,Nc1ccc(F)c(Br)c1O,4,27.6,30.7
138,Cc1c(N)ccc(F)c1Cl,3,76.92,26.0
139,Nc1cc(F)c(F)c(Br)c1F,1,28.73,20.0
140,O=C(O)c1cc(NC(=O)C2CC2)cc(NC(=O)C2CC2)c1,3,41.48,17.0
141,N#Cc1cc(N)cc(F)c1F,3,35.36,20.0
142,Nc1ccc(Oc2ccc(N)c(N)c2)cc1,1,25.71,10.0
143,Nc1ccc(F)c(F)c1N,3,5.2,30.0
144,Nc1c(F)cc(F)c(F)c1F,3,35.1,30.0
145,CC=CC=CC(=O)Nc1cc(NC(=O)C=CC=CC)cc(C(=O)O)c1,4,30.92,9.7
146,CCOc1ccc(C#N)cc1C(=O)O,1,38.29,22.0
147,NNc1ccc(F)cc1F,1,6.5,30.0
148,Nc1ccc(F)c(Cl)c1Cl,2,11.05,20.0
149,Nc1cc(Cl)c(F)c(Cl)c1F,1,13.0,30.0
150,Nc1ccc(F)c(F)c1Cl,1,11.7,30.0
151,NC(=O)c1cc(N)ccc1F,3,41.48,17.0
152,Nc1cc(F)c(Cl)cc1N,4,6.63,20.0
153,CC(C)(C)C(=O)Nc1cc(NC(=O)C(C)(C)C)cc(C(=O)O)c1,2,37.16,17.0
154,N#Cc1ccc(Br)c(C(=O)O)c1,1,22.93,31.0
155,Nc1cc(F)c(F)cc1I,4,18.79,20.0
156,Nc1ccc(F)cc1F,1,5.2,30.0
157,Cc1cc(N)c(N)cc1F,4,30.61,31.0
158,CC(=O)Nc1cc(N)ccc1F,4,44.84,17.0
159,Nc1c(Br)cc(F)c(Br)c1N,5,56.36,20.0
160,NNc1ccc(F)cc1Cl,5,5.53,20.0
161,Nc1cc(Br)c(F)cc1F,2,5.53,20.0
162,O=C(O)c1cc2cccc(Cl)c2s1,1,22.93,31.0
163,CC(=O)c1cc(N)ccc1F,4,16.9,30.0
164,Nc1cc(Br)c(F)cc1I,2,32.05,20.0
165,Nc1ccc(F)c(Br)c1N,5,11.7,30.0
166,Nc1ccc(F)c(N)c1,5,7.74,20.0
167,NNc1ccc(F)c(Br)c1,5,46.8,24.0
168,Cc1c(F)ccc(N)c1F,2,20.8,30.0
