,smiles,amount,price,lead_time
0,Nc1cc(F)cc(F)c1N,1,6.5,30.0
1,Cc1oc(S(=O)(=O)N2CCCCC2)cc1C(=O)O,38,53.09,28.8
2,N#Cc1ccc(F)c(C(=O)O)c1,1,7.74,20.0
3,COc1ccc2cc(C(=O)NCC(c3cc4ccccc4o3)N(C)C)[nH]c2c1,9,92.22,26.0
4,Nc1cc(F)c(F)cc1C(=O)O,2,5.2,30.0
5,Cc1oc(S(=O)(=O)N2CCCC2)cc1C(=O)O,40,60.64,27.3
6,Nc1cc(F)ccc1[N+](=O)[O-],1,5.53,20.0
7,COc1cc(NN)ccc1F,2,6.63,20.0
8,Nc1cc(F)c(Br)cc1[N+](=O)[O-],1,27.63,20.0
9,Nc1ccc(F)c2cn[nH]c12,1,30.94,20.0
10,Cc1oc(S(=O)(=O)N(C)C)cc1C(=O)O,32,52.56,31.7
11,c1ccc2c(c1)-c1ccccc1C2N1CCNCC1,7,43.4,16.3
12,COc1cccc2sc(C(=O)O)cc12,1,16.58,20.0
13,Nc1c(Br)cc(F)c(Br)c1N,2,56.36,20.0
14,c1ccc(-c2noc([C@@H]3CCCN3)n2)nc1,3,53.3,34.0
15,CC(C)C(=O)Nc1cc(NC(=O)C(C)C)cc(C(=O)O)c1,2,37.16,17.0
16,COc1c(N)ccc(F)c1Br,1,22.93,31.0
17,O=S(=O)(Cl)c1cccc2cccnc12,10,5.53,20.0
18,Nc1ccc2c(c1)COc1ccccc1O2,1,30.79,17.0
19,Cc1oc(S(=O)(=O)N2CCOCC2)cc1C(=O)O,39,47.44,25.5
20,Cc1cc(N)cc(F)c1F,2,26.49,31.0
21,Nc1cc(F)c(F)cc1O,1,21.0,20.0
22,Nc1ccc(F)cc1F,2,5.2,30.0
23,N#Cc1c(F)ccc(N)c1F,1,13.26,20.0
24,NCc1nc(-c2ccccn2)no1,4,32.5,21.0
25,O=C(O)CCCC(=O)Nc1cc(NC(=O)CCCC(=O)O)cc(C(=O)O)c1,1,30.79,17.0
26,Nc1cc(F)c(F)c(F)c1Br,1,6.63,20.0
27,CC1CCc2cc(F)ccc2N1,2,14.37,20.0
28,Nc1ccc(F)c(F)c1N,3,5.2,30.0
29,Nc1c(F)cc(F)cc1S,1,64.15,26.0
30,Cc1c(F)ccc([N+](=O)[O-])c1N,2,26.49,31.0
31,Cc1cnc2c(S(=O)(=O)Cl)cccc2c1,9,9.1,30.0
32,Nc1ccc(Oc2ccccc2Cl)cc1,1,11.05,34.0
33,Cc1c(C(=O)O)sc2ccc(Cl)cc12,1,23.21,20.0
34,CS(=O)(=O)CCC(N)c1nc(-c2ccccn2)no1,2,40.8,17.0
35,O=C(O)c1cc(N2CCCC2=O)cc(N2CCCC2=O)c1,4,31.84,25.7
36,Nc1cc([N+](=O)[O-])ccc1F,1,25.71,10.0
37,Cc1cc(F)c(O)cc1N,2,26.49,31.0
38,Cc1c(N)ccc(F)c1F,1,64.15,26.0
39,Cc1cc(F)c(Br)cc1N,2,5.2,30.0
40,COc1cc(N)ccc1F,2,6.5,30.0
41,Fc1ccc2c(c1)CCN2,1,23.4,30.0
42,Nc1cc(Br)c(F)cc1C(=O)O,3,6.63,20.0
43,Nc1ccc(F)c(I)c1F,1,33.15,20.0
44,Nc1c(F)cc(F)cc1F,1,25.71,10.0
45,N#Cc1c(F)cc(Br)c(N)c1F,1,25.42,20.0
46,Cc1cc(N)c(Cl)cc1F,1,5.53,20.0
47,Nc1ccc(F)c(Br)c1N,3,11.7,30.0
48,Nc1ccc(F)cc1N,3,6.5,30.0
49,NNc1ccc(F)c(Br)c1,1,46.8,24.0
50,Nc1ccc(F)c(C2CC2)c1,2,26.49,31.0
51,CNCc1nc(-c2ccccn2)no1,6,32.5,21.0
52,CC=CC=CC(=O)Nc1cc(NC(=O)C=CC=CC)cc(C(=O)O)c1,1,25.71,10.0
53,Cc1c(F)cc(Cl)c(N)c1F,2,26.49,31.0
54,Nc1ccc(Oc2ccc(Cl)cc2)cc1,1,25.71,10.0
55,Nc1cc(F)c(F)c(Br)c1,2,15.47,20.0
56,Nc1cc(F)cc(Br)c1N,3,22.1,30.0
57,N#Cc1ccc(F)c(C(=O)O)c1F,1,22.93,31.0
58,Nc1cc(Br)c(F)cc1Br,1,18.2,30.0
59,Nc1cc(F)c(Cl)cc1N,2,6.63,20.0
60,CC(N)c1nc(-c2ccccn2)no1,2,32.5,21.0
61,CC(=O)Nc1c(I)c(C(=O)O)c(I)c(N(C)C(C)=O)c1I,1,13.0,11.0
62,CCOC(=O)c1cc(F)ccc1N,1,5.53,20.0
63,CC(C)Oc1ccc(C(=O)O)cc1C#N,1,5.2,30.0
64,COc1c(F)ccc(N)c1F,2,26.49,31.0
65,O=C(O)CCC(=O)Nc1cc(NC(=O)CCC(=O)O)cc(C(=O)O)c1,1,30.79,17.0
66,COc1cc(N)c(Cl)cc1F,1,22.93,31.0
67,Cc1c(F)ccc(N)c1F,1,20.8,30.0
68,NNc1ccc(F)cc1Cl,1,5.53,20.0
69,Nc1ccc(F)c(CO)c1,1,22.93,31.0
70,Nc1ccc(F)cc1B(O)O,2,70.72,20.0
71,Nc1ccc(F)cc1[N+](=O)[O-],1,25.71,10.0
72,Nc1ccc(F)c(F)c1Cl,1,11.7,30.0
73,CNc1ccc(F)c(Cl)c1,2,55.12,24.0
74,Nc1cc(F)c(F)c(C(=O)O)c1F,1,25.71,10.0
75,COC(=O)c1cc(N)c(C)cc1F,2,56.36,20.0
76,CSCCC(N)c1nc(-c2ccccn2)no1,2,40.8,17.0
77,CCCCC(=O)Nc1cc(NC(=O)CCCC)cc(C(=O)O)c1,1,30.79,17.0
78,Cc1c(C(=O)O)sc2cccc(Cl)c12,1,44.2,20.0
79,COc1cccc(Oc2ccc(N)cc2)c1,1,25.42,34.0
80,CNc1cc(F)cc(Br)c1N,4,81.77,20.0
81,N#Cc1cccc(C(=O)O)c1O,1,24.31,20.0
82,Cc1c(N)c(C#N)cc(C(=O)O)c1O,1,15.47,20.0
83,CNc1ccc(F)cc1N,1,26.0,11.0
84,CCNc1ccc(F)cc1,1,11.05,20.0
85,Cc1cc(F)cc(C)c1N,1,24.31,20.0
86,Nc1c(F)cc(F)c(F)c1N,1,67.41,20.0
87,Nc1cc(Br)c(F)cc1I,1,32.05,20.0
88,Nc1ccc(F)c(F)c1O,1,19.5,30.0
89,CCOc1cc(F)ccc1N,1,80.67,20.0
90,Cc1c(F)ccc(N)c1Cl,1,22.93,31.0
91,CC(=O)c1cc(F)ccc1N,1,5.2,30.0
92,Nc1ccc(Oc2ccc(F)cc2)cc1,1,9.1,30.0
93,Nc1ccc(Oc2ccccc2)c(Cl)c1,1,24.31,20.0
94,O=C(O)c1cc(NC(=O)C(F)(F)F)cc(NC(=O)C(F)(F)F)c1,3,41.48,17.0
95,COc1ccc(C#N)cc1C(=O)O,1,38.29,22.0
96,Cc1cc(F)cc(Br)c1N,1,25.71,10.0
97,Nc1ccc(Oc2cccc(F)c2)c(Cl)c1,2,28.77,25.9
98,N#Cc1cc(F)cc(Br)c1N,1,6.63,20.0
99,COc1cc(F)c([N+](=O)[O-])cc1N,1,5.53,20.0
100,Nc1ccc(F)cc1Cl,1,6.5,30.0
101,Nc1c(F)cc(F)c(F)c1I,1,38.68,20.0
102,Nc1cc(Br)c(F)cc1F,1,5.53,20.0
103,CCc1cc(F)ccc1N,1,65.2,20.0
104,Nc1c(F)cc(F)c(F)c1F,3,35.1,30.0
105,NNc1ccc(F)cc1F,1,6.5,30.0
106,Nc1ccc(F)c(F)c1Br,1,5.53,20.0
107,NNc1c(F)c(F)c(F)c(F)c1F,2,11.05,20.0
108,CC(=O)Nc1cc(NC(C)=O)cc(C(=O)O)c1,1,25.71,10.0
109,O=C(O)c1cc2cc(F)ccc2s1,1,22.93,31.0
110,Nc1ccc(Oc2ccc(Br)cc2Br)cc1,1,30.79,17.0
111,Nc1cc(F)c(F)cc1I,2,18.79,20.0
112,Cc1cc(F)ccc1N,1,6.83,21.0
113,N#Cc1ccc(N)c(C(=O)O)c1,1,27.63,20.0
114,Nc1cc(Cl)c(F)cc1Cl,1,17.68,20.0
115,Nc1cc(F)c(F)c(Br)c1F,2,28.73,20.0
116,Cc1ccccc1Oc1ccc(N)cc1C,1,32.05,20.0
117,Cc1cc(Oc2ccc(N)cc2)ccc1N,1,38.29,22.0
118,O=C(O)c1cc2c(F)cccc2s1,1,22.93,31.0
119,Nc1cc(Br)c(F)c(C(F)(F)F)c1,1,9.95,20.0
120,CC(=O)Nc1cc(NC(C)=O)c([N+](=O)[O-])c(C(=O)O)c1,1,25.71,10.0
121,Nc1ccc(F)c(Br)c1,1,5.53,20.0
122,Nc1cc(F)c(F)cc1N,1,5.2,30.0
123,Cc1cc(N)c(N)cc1F,1,22.93,31.0
124,CC(=O)Nc1cc(N)ccc1F,1,30.79,17.0
125,Nc1cc(F)c(F)c(F)c1F,1,5.53,20.0
126,NNc1ccc(F)c(F)c1F,2,26.91,28.8
127,Nc1ccc(Oc2ccccc2)cc1,1,6.63,20.0
128,Cc1cc(F)ccc1NN,1,22.1,20.0
129,N#Cc1cc(F)ccc1NN,1,64.35,30.0
130,Nc1ccc(Oc2ccccc2Br)c(F)c1,1,78.0,11.0
131,N#Cc1cccc(C(=O)O)c1Cl,1,27.63,20.0
132,CC(C)c1cc(F)ccc1N,1,8.84,20.0
133,Cc1ccccc1Oc1ccc(N)cc1,1,23.76,26.0
134,Cc1c(C(=O)O)sc2cc(Cl)ccc12,1,60.78,34.0
135,CC(=O)c1cc(N)ccc1F,1,16.9,30.0
136,Nc1c(F)cc(F)c(F)c1[N+](=O)[O-],2,54.08,24.0
137,Cc1cc(Oc2ccc(F)cc2)ccc1N,1,53.04,20.0
138,NNc1ccc(F)c(F)c1,1,7.8,30.0
139,CN(N)c1ccc(F)cc1,1,38.29,22.0
140,CCC(CC)C(=O)Nc1cc(NC(=O)C(CC)CC)cc(C(=O)O)c1,1,30.79,17.0
141,Cc1cc(F)cc(Cl)c1N,1,18.79,20.0
142,C=C(C)C(=O)Nc1cc(NC(=O)C(=C)C)cc(C(=O)O)c1,1,58.5,21.0
143,Cc1cc(F)c(F)cc1N,1,6.63,20.0
144,Nc1c(Cl)cc(F)cc1Cl,1,25.71,10.0
145,Cc1cc(F)c(N)cc1[N+](=O)[O-],1,7.74,20.0
146,Nc1ccc(F)c(Cl)c1,1,25.71,10.0
147,Nc1cc(Cl)c(F)c(Cl)c1F,2,13.0,30.0
148,Cc1ccc(Oc2ccc(NN)cc2)cc1,1,81.9,22.0
149,Nc1ccc(F)cc1C=O,1,70.72,20.0
150,NCc1cc(N)ccc1F,1,39.78,34.0
151,Nc1c(O)cc(F)cc1Br,1,22.93,31.0
152,N#Cc1c(F)ccc(N)c1Br,1,83.98,20.0
153,CCC(=O)Nc1cc(NC(=O)CC)cc(C(=O)O)c1,1,30.79,17.0
154,Cc1cc(F)cc([N+](=O)[O-])c1N,1,22.93,31.0
155,Nc1ccc(Oc2ccc(F)cc2)c(Cl)c1,1,8.84,20.0
156,Nc1ccc(F)c(F)c1,1,25.71,10.0
157,Cc1cc(Oc2ccc(Br)cc2)ccc1N,1,22.93,31.0
158,Nc1c(Br)cc(F)c(F)c1F,1,9.1,30.0
159,Nc1c(F)cc(F)cc1I,1,13.26,20.0
160,Cc1c(N)ccc(F)c1C,1,59.28,24.0
161,O=C(O)c1sc2cc(Br)ccc2c1Cl,1,26.0,26.0
162,NNc1ccc(F)c(Cl)c1,1,25.71,10.0
163,Cc1cc(N)c(Br)cc1F,1,7.74,20.0
164,COc1cc(F)c(Br)cc1N,1,22.1,20.0
165,Cc1cc(N)c(I)cc1F,1,54.08,24.0
166,Nc1cc(O)c(F)cc1F,1,22.93,31.0
167,Cc1cccc(Oc2ccc(N)cc2)c1,1,26.0,26.0
168,COC(=O)c1cc(N)ccc1F,1,22.93,31.0
169,COc1c(N)ccc(F)c1F,1,22.93,31.0
170,N#Cc1cc(C(=O)O)ccc1N,1,22.1,30.0
